Number,Messier,NGC,Name,Type,SubType,Season,Magnitude,Const,ConstEnglish,Constellation,RA,Dec,Distance,Size,Discoverer,Year,Captured,CapYear,Remarks
86,M86,NGC 4406,–,Galaxy,Lenticular galaxy,Spring,8.9,Vir,Virgin,Virgo,12:26:11.74,+12:56:46.4,"49,000",8.9' × 5.8',Messier,1781,0,NULL,NULL
87,M87,NGC 4486,Virgo A or Smoking Gun Galaxy,Galaxy,Elliptical galaxy,Spring,8.6,Vir,Virgin,Virgo,12:30:49.42,+12:23:28.0,"51,000",7.2' × 6.8',Messier,1781,0,NULL,NULL
88,M88,NGC 4501,–,Galaxy,Spiral galaxy,Spring,9.6,Com,Hair of Berenice,Coma Berenices,12:31:59.16,+14:25:13.4,"39,000",6.9' × 3.7',Messier,1781,0,NULL,NULL
89,M89,NGC 4552,–,Galaxy,Elliptical galaxy,Spring,9.8,Vir,Virgin,Virgo,12:35:39.81,+12:33:22.8,"47,000",5.1' × 4.7',Messier,1781,0,NULL,NULL
90,M90,NGC 4560,–,Galaxy,Spiral galaxy,Spring,9.5,Vir,Virgin,Virgo,12:36:49.79,+13:09:46.6,"55,000",9.5' × 4.4',Messier,1781,1,2024,NULL
91,M91,NGC 4548,–,Galaxy,Barred Spiral galaxy,Spring,10.2,Com,Hair of Berenice,Coma Berenices,12:35:26.45,+14:29:46.8,"47,000",5.4' × 4.3',Messier,1781,0,NULL,NULL
92,M92,NGC 6341,–,Cluster,Globular cluster,Summer,6.4,Her,Hercules,Hercules,17:17:07.27,+43:08:11.5,"26,700",14',Bode,1777,0,NULL,NULL
93,M93,NGC 2447,Critter Cluster,Cluster,Open cluster,Winter,6,Pup,"Stern,Poop deck",Puppis,07:44:29.23,-23:51:11.1,"3,600",10',Messier,1781,0,NULL,NULL
94,M94,NGC 4736,Crocodile Eye or Cat's Eye Galaxy,Galaxy,Spiral galaxy,Spring,8.2,CVn,Hound Dogs,Canes Venatici,12:50:53.06,+41:07:13.6,"14,000",11.2' × 9.1',Méchain,1781,0,NULL,NULL
95,M95,NGC 3351,–,Galaxy,Barred Spiral galaxy,Spring,9.7,Leo,Lion,Leo,10:43:57.70,+11:42:13.7,"31,000",3.1' × 2.9',Méchain,1781,0,NULL,NULL
96,M96,NGC 3368,–,Galaxy,Spiral galaxy,Spring,9.2,Leo,Lion,Leo,10:46:45.74,+11:49:11.8,"28,000",7.6' × 5.2',Méchain,1781,0,NULL,NULL
97,M97,NGC 3587,Owl Nebula,Nebula,Planetary nebula,Spring,9.9,UMa,Big Bear,Ursa Major,11:14:47.71,+55:01:08.5,"2,030",3.4' × 3.3',Méchain,1781,0,NULL,NULL
98,M98,NGC 4192,–,Galaxy,Spiral galaxy,Spring,10.1,Com,Hair of Berenice,Coma Berenices,12:13:48.29,+14:54:01.2,"44,000",9.8' × 2.8',Méchain,1781,0,NULL,NULL
99,M99,NGC 4254,St. Catherine’s Wheel,Galaxy,Spiral galaxy,Spring,9.9,Com,Hair of Berenice,Coma Berenices,12:18:49.60,+14:24:59.4,"44,000",5.4' × 4.7',Méchain,1781,0,NULL,NULL
100,M100,NGC 4321,Mirror Galaxy,Galaxy,Spiral galaxy,Spring,9.3,Com,Hair of Berenice,Coma Berenices,12:22:54.83,+15:49:18.5,"55,000",7.4' × 6.3',Méchain,1781,0,NULL,NULL
101,M101,NGC 5457,Pinwheel Galaxy,Galaxy,Spiral galaxy,Spring,7.9,UMa,Big Bear,Ursa Major,14:03:12.54,+54:20:56.2,"19,000",28.8' × 26.9',Méchain,1781,1,2023,NULL
102,M102,NGC 5866,Spindle Galaxy,Galaxy,Lenticular galaxy,Spring,9.9,,,Draco,,,"50,000",4.7' x 1.9',Méchain,1781,0,NULL,NULL
103,M103,NGC 581,–,Cluster,Open cluster,Autumn,7.4,Cas,Cassiopeia,Cassiopeia,01:33:21.81,+60:39:28.8,"10,000",6',Méchain,1781,0,NULL,NULL
104,M104,NGC 4594,Sombrero Galaxy,Galaxy,Spiral galaxy,Spring,8,Crv,Crow,Corvus,12:39:59.43,-11:37:23.0,"28,000",9' x 4',Méchain,1781,0,NULL,NULL
105,M105,NGC 3379,–,Galaxy,Elliptical galaxy,Spring,9.3,Leo,Lion,Leo,10:47:49.59,+12:34:53.8,"30,000",5.4' × 4.8',Méchain,1781,0,NULL,NULL
106,M106,NGC 4258,–,Galaxy,Spiral galaxy,Spring,8.4,CVn,Hound Dogs,Canes Venatici,12:18:57.50,+47:18:14.3,"22,000",18.6' × 7.2',Méchain,1781,1,2023,NULL
107,M107,NGC 6171,Crucifix Cluster,Cluster,Globular cluster,Summer,7.9,Oph,Serpent Holder,Ophiuchus,16:32:31.92,-13:03:13.1,"20,900",10',Méchain,1782,0,NULL,NULL
108,M108,NGC 3556,Surfboard Galaxy,Galaxy,Barred Spiral galaxy,Spring,10,UMa,Big Bear,Ursa Major,11:11:30.97,+55:40:26.8,"46,000",8.7' × 2.2',Méchain,1782,0,NULL,NULL
109,M109,NGC 3992,Vacuum Cleaner Galaxy,Galaxy,Barred Spiral galaxy,Autumn,9.8,UMa,Big Bear,Ursa Major,11:57:35.98,+53:22:28.3,"59,000",7.6' × 4.7',Méchain,1782,0,NULL,NULL
110,M110,NGC 205,–,Galaxy,Dwarf elliptical galaxy,Autumn,8.5,And,Andromeda,Andromeda,00:40:22.08,+41:41:07.1,"2,000",21.9' × 11.0',Messier,1773,0,NULL,NULL
